item_id,open_qty,in_transit_inbound_qty,est_date_arr
10961,38,50,
11188,221,0,
11199,160,0,
11251,665,0,
12528,149,0,
12773,178,0,
12964,101,0,
13027,145,0,
13459,130,0,
13675,88,0,
13676,84,0,
14005,90,0,
14815,163,0,
16059,452,0,
16162,131,0,
16972,187,0,
17089,154,0,
1732,107,0,
17419,267,0,
1782,513,0,
18630,662,0,
18796,116,0,
18954,95,0,
19267,364,0,
19281,261,0,
1970,446,0,
19768,106,0,
19976,93,0,
20131,305,0,
20150,428,0,
20209,163,0,
20478,181,0,
2113,358,0,
21146,122,0,
21163,115,0,
21690,230,0,
22963,142,0,
22987,148,0,
23050,789,0,
23148,147,0,
23337,104,0,
23582,274,0,
24051,214,0,
24299,192,0,
24763,228,0,
24890,91,0,
2517,139,0,
25993,402,0,
2627,73,50,
26503,380,0,
2692,250,0,
27179,108,0,
2761,191,0,
2787,87,0,
28137,154,0,
28140,158,0,
28522,132,0,
28715,161,0,
29151,280,0,
29657,2162,0,
3039,99,5000,
30511,142,0,
30712,136,0,
31073,114,0,
31265,211,0,
31683,153,0,
31702,374,0,
31812,108,0,
31849,266,0,
3320,54,0,
395,233,100,
4091,375,0,
4832,279,0,
5221,200,0,
6112,95,30,
637,458,0,
6923,266,0,
8705,198,0,
