id,item_id,replenish_required_base,suggested_qty_base,replenish_required_advanced,suggested_qty_smart,updated_at,replenish_required_smart
13,20209,f,0,f,0,2023-05-21 16:24:19.354133+00,f
14,12964,f,0,f,0,2023-05-21 16:24:19.34937+00,f
15,25993,f,0,f,0,2023-05-21 16:24:19.372492+00,f
16,20131,f,0,f,0,2023-05-21 16:24:19.351278+00,f
17,2517,f,0,f,0,2023-05-21 16:24:19.288595+00,f
18,23582,f,0,f,-999,2023-05-21 16:24:14.946293+00,t
19,24299,f,0,f,45,2023-05-21 16:24:19.371208+00,t
20,27179,t,80,t,50,2023-05-21 16:24:19.388165+00,t
21,28522,f,0,f,0,2023-05-21 16:24:19.29325+00,f
22,2787,f,0,f,0,2023-05-21 16:24:19.299278+00,f
23,28137,t,375,t,75,2023-05-21 16:24:19.386776+00,t
24,28715,f,75,t,0,2023-05-21 16:24:19.3954+00,f
25,18954,f,0,f,0,2023-05-21 16:24:19.272506+00,f
26,19281,f,0,f,50,2023-05-21 16:24:19.259965+00,t
27,12528,f,50,t,0,2023-05-21 16:24:19.361947+00,f
28,1782,f,0,f,-999,2023-05-21 16:24:15.017803+00,t
29,12773,t,30,t,0,2023-05-21 16:24:19.328947+00,f
30,11199,t,50,t,50,2023-05-21 16:24:19.245673+00,t
31,19976,t,120,t,0,2023-05-21 16:24:19.375315+00,f
32,18796,f,40,t,0,2023-05-21 16:24:19.359275+00,f
33,16059,f,0,f,0,2023-05-21 16:24:19.336374+00,f
34,21146,f,0,f,-999,2023-05-21 16:24:15.065619+00,
35,13027,f,0,f,0,2023-05-21 16:24:19.289806+00,f
36,11251,f,0,f,75,2023-05-21 16:24:19.288532+00,t
37,20150,f,0,f,75,2023-05-21 16:24:19.343313+00,t
38,11188,f,0,f,100,2023-05-21 16:24:19.209118+00,t
39,13459,f,0,f,0,2023-05-21 16:24:19.342845+00,f
40,21163,f,75,t,0,2023-05-21 16:24:19.382866+00,f
41,14005,f,0,f,0,2023-05-21 16:24:19.349739+00,f
42,13675,f,30,t,-999,2023-05-21 16:24:15.075157+00,
43,17089,f,0,f,0,2023-05-21 16:24:19.358052+00,f
44,26503,f,0,f,0,2023-05-21 16:24:19.374043+00,f
45,2113,f,0,f,0,2023-05-21 16:24:19.369619+00,f
46,22963,t,50,t,0,2023-05-21 16:24:19.260529+00,f
47,14815,f,75,t,-999,2023-05-21 16:24:15.034943+00,t
48,24051,t,100,t,30,2023-05-21 16:24:19.282304+00,t
49,16162,t,300,t,75,2023-05-21 16:24:19.329413+00,t
50,24763,t,230,t,-999,2023-05-21 16:24:14.949944+00,t
51,1970,f,0,f,60,2023-05-21 16:24:19.360629+00,t
52,23337,t,50,t,30,2023-05-21 16:24:19.365774+00,t
53,19768,f,15,t,-999,2023-05-21 16:24:15.057627+00,t
54,22987,f,0,f,50,2023-05-21 16:24:19.35535+00,t
55,23148,f,0,f,50,2023-05-21 16:24:19.348944+00,t
56,24890,f,0,f,0,2023-05-21 16:24:19.345567+00,f
57,20478,f,0,f,0,2023-05-21 16:24:19.364523+00,f
58,21690,f,0,f,0,2023-05-21 16:24:19.273078+00,f
59,2692,f,0,f,0,2023-05-21 16:24:19.381522+00,f
60,2761,f,0,f,30,2023-05-21 16:24:19.27197+00,t
61,28140,t,100,t,100,2023-05-21 16:24:19.363184+00,t
62,29151,f,0,f,0,2023-05-21 16:24:19.395858+00,f
63,29657,f,0,f,-999,2023-05-21 16:24:15.101365+00,
64,3320,f,30,t,0,2023-05-21 16:24:19.478143+00,f
65,30511,t,100,t,100,2023-05-21 16:24:19.396335+00,t
66,31702,f,0,f,0,2023-05-21 16:24:19.446635+00,f
67,30712,t,70,t,0,2023-05-21 16:24:19.478644+00,f
68,31265,f,0,f,-999,2023-05-21 16:24:15.103379+00,t
69,31812,f,75,t,75,2023-05-21 16:24:19.477517+00,t
70,31683,f,0,f,0,2023-05-21 16:24:19.443434+00,f
71,31073,f,0,f,0,2023-05-21 16:24:19.448127+00,f
72,4832,f,0,f,100,2023-05-21 16:24:19.47579+00,t
73,31849,f,50,t,50,2023-05-21 16:24:19.433242+00,t
74,637,f,0,f,50,2023-05-21 16:24:19.461292+00,t
75,6923,f,0,f,75,2023-05-21 16:24:19.463157+00,t
76,5221,f,0,f,-999,2023-05-21 16:24:15.184004+00,t
77,6112,t,40,t,30,2023-05-21 16:24:19.461907+00,t
78,8705,f,0,f,75,2023-05-21 16:24:19.461527+00,t
79,4091,f,0,f,100,2023-05-21 16:24:19.431526+00,t
395,395,f,0,f,45,2023-05-21 16:24:19.434247+00,t
1732,1732,f,0,f,0,2023-05-21 16:24:19.35269+00,f
2627,2627,f,0,f,50,2023-05-21 16:24:19.385515+00,t
3039,3039,f,0,f,-999,2023-05-21 16:24:15.038795+00,f
10961,10961,f,0,f,0,2023-05-21 16:24:19.226178+00,f
13676,13676,f,50,t,50,2023-05-21 16:24:19.245213+00,t
16972,16972,t,220,t,50,2023-05-21 16:24:19.347394+00,t
17419,17419,f,0,f,0,2023-05-21 16:24:19.243299+00,f
18630,18630,f,0,f,0,2023-05-21 16:24:19.346122+00,f
19267,19267,f,0,f,0,2023-05-21 16:24:19.356558+00,f
23050,23050,f,0,f,200,2023-05-21 16:24:19.384148+00,t
